City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
589,Beziers,FR,81.88,clear sky,43.3476,3.219,Hôtel Terminus
591,Abomey-Calavi,BJ,87.66,few clouds,6.4485,2.3557,Miras Hôtel
594,Palkonda,IN,86.16,overcast clouds,18.6,83.75,Ayyappa Shankar Residency
597,Porto Nacional,BR,86.0,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
600,Sembe,CG,82.72,overcast clouds,1.6481,14.5806,
604,Inhambane,MZ,84.18,few clouds,-23.865,35.3833,Oceano
605,Chorozinho,BR,88.65,overcast clouds,-4.3003,-38.4978,Churrascaria e Pousada Pantanal
607,Taxisco,GT,88.03,broken clouds,14.0708,-90.4631,HOSTAL LAS MARIAS
608,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
613,Siuna,NI,80.1,overcast clouds,13.7332,-84.7773,hotel los chinitos
614,Esmeraldas,BR,82.51,few clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
615,Bahia Honda,CU,84.61,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
616,Auki,SB,77.13,overcast clouds,-8.7676,160.7034,Auki Motel
620,Olpad,IN,82.38,clear sky,21.3333,72.75,IDTCATERING
621,Tres Picos,MX,88.11,scattered clouds,15.8667,-93.5333,Tres picos Chiapas
625,Surt,LY,81.45,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
626,Camopi,GF,85.15,broken clouds,3.1655,-52.3158,La pousada
628,Bhuj,IN,82.35,clear sky,23.2667,69.6667,Regenta Resort Bhuj
629,Jutai,BR,76.15,overcast clouds,-5.1833,-68.9,
636,Tikrit,IQ,76.39,scattered clouds,34.6071,43.6782,عماره العبطه
638,San Matias,BO,82.02,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
641,Gizo,SB,80.35,overcast clouds,-8.103,156.8419,Imagination Island
648,Buritizeiro,BR,89.83,few clouds,-17.3511,-44.9622,Santos Palace Hotel
652,Mayumba,GA,82.33,light rain,-3.432,10.6554,LIKWALE LODGE
656,Bindura,ZW,78.15,scattered clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
660,Tabora,TZ,79.18,overcast clouds,-5.0167,32.8,Barcelona Lodge
662,Sale,MA,78.64,few clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
